city,country,latitude,longitude,temp,temp_min,temp_max,humidity,time_zone,weather,cloud_coverage,wind_speed
Ozernovskiy,RU,51.5,156.52,29.14,29.14,29.14,87,43200,overcast clouds,87,5.37
Avarua,CK,-21.21,-159.78,84.2,84.2,84.2,74,-36000,overcast clouds,100,13.87
Changji,CN,44.02,87.32,-2.2,-2.2,-2.2,84,28800,light snow,90,2.24
Katobu,ID,-4.94,122.53,81.0,81.0,81.0,83,28800,light rain,100,6.82
Polyarnyye Zori,RU,67.37,32.5,15.01,15.01,15.01,94,10800,scattered clouds,25,7.87
Nizhniy Kuranakh,RU,58.84,125.49,-10.91,-10.91,-10.91,88,32400,overcast clouds,100,4.14
Tuktoyaktuk,CA,69.45,-133.04,-25.6,-25.6,-25.6,74,-25200,light snow,20,3.36
Provideniya,RU,64.38,-173.3,19.4,19.4,19.4,85,43200,light snow,90,15.66
Garanhuns,BR,-8.89,-36.49,67.15,67.15,67.15,92,-10800,broken clouds,71,10.54
San Fernando del Valle de Catamarca,AR,-28.47,-65.79,64.0,64.0,64.0,65,-10800,overcast clouds,90,1.01
Haicheng,CN,40.85,122.75,17.96,17.96,17.96,85,28800,clear sky,0,2.93
Castro,BR,-24.79,-50.01,65.23,65.23,65.23,94,-10800,overcast clouds,100,2.46
New Norfolk,AU,-42.78,147.06,55.08,53.01,57.99,88,39600,overcast clouds,100,0.45
Cibitoke Province,BI,-2.88,29.25,62.17,62.17,62.17,85,7200,broken clouds,60,3.2
Taoudenni,ML,22.68,-3.98,64.67,64.67,64.67,26,0,clear sky,0,5.95
Lompoc,US,34.64,-120.46,53.69,52.0,55.4,71,-28800,clear sky,1,5.82
Port Hedland,AU,-20.32,118.57,89.6,89.6,89.6,59,28800,clear sky,0,12.75
Osmanabad,IN,18.17,76.05,63.68,63.68,63.68,83,19800,scattered clouds,29,5.21
Darhan,MN,49.49,105.92,2.32,2.32,2.32,89,28800,overcast clouds,100,1.07
Erice,IT,38.04,12.59,57.38,53.6,60.01,81,3600,clear sky,0,2.24
Tiksi,RU,71.69,128.87,-13.43,-13.43,-13.43,90,32400,overcast clouds,100,3.0
Hong Kong,HK,22.29,114.16,53.51,48.99,57.0,74,28800,scattered clouds,45,5.99
Priargunsk,RU,50.37,119.1,-10.35,-10.35,-10.35,87,32400,clear sky,0,3.94
Morro Bay,US,35.37,-120.85,56.19,53.01,60.01,80,-28800,broken clouds,74,1.99
Port Alfred,ZA,-33.59,26.89,64.0,64.0,64.0,95,7200,clear sky,0,1.99
Ambon City,ID,-3.7,128.18,87.8,87.8,87.8,66,32400,moderate rain,40,3.36
Upernavik,GL,72.79,-56.15,16.72,16.72,16.72,84,-10800,overcast clouds,89,3.96
Den Helder,NL,52.96,4.76,48.34,48.0,48.99,93,3600,moderate rain,90,17.22
Post Falls,US,47.72,-116.95,37.38,35.6,39.99,93,-28800,few clouds,20,4.7
Oruro,BO,-17.98,-67.15,48.9,48.9,48.9,61,-14400,overcast clouds,94,18.43
Lavrentiya,RU,65.58,-171.0,11.43,11.43,11.43,94,43200,overcast clouds,100,22.3
Cao Bang,VN,22.67,106.25,50.61,50.61,50.61,49,25200,overcast clouds,99,2.06
Chokurdakh,RU,70.63,147.92,-10.66,-10.66,-10.66,91,39600,broken clouds,79,8.88
Emba,KZ,48.83,58.14,14.92,14.92,14.92,90,18000,overcast clouds,100,8.93
Vila Franca do Campo,PT,37.72,-25.43,62.6,62.6,62.6,93,-3600,few clouds,20,16.11
Bud,US,39.45,-86.18,28.81,28.4,28.99,86,-18000,overcast clouds,90,5.82
Sharjah city,AE,25.36,55.4,64.65,62.6,66.2,72,14400,clear sky,0,3.36
Antonovo,BG,43.15,26.17,39.2,39.2,39.2,86,7200,overcast clouds,90,4.7
Guilin,CN,25.28,110.29,37.4,37.4,37.4,93,28800,mist,90,2.24
Honningsvåg,NO,70.98,25.97,27.05,27.05,27.05,90,3600,light snow,99,11.99
Mbeya,TZ,-8.9,33.45,59.43,59.43,59.43,92,10800,overcast clouds,100,3.49
College,US,64.86,-147.8,-3.44,-7.01,-0.4,49,-32400,broken clouds,75,10.29
Mattru,SL,7.62,-11.83,74.95,74.95,74.95,93,0,overcast clouds,99,2.95
Gweta,BW,-20.18,25.23,71.51,71.51,71.51,79,7200,light rain,100,15.5
Mazara del Vallo,IT,37.66,12.59,52.5,51.01,53.6,81,3600,clear sky,0,2.24
Caravelas,BR,-17.71,-39.25,74.25,74.25,74.25,89,-10800,clear sky,0,4.99
Patea,NZ,-39.76,174.48,70.7,69.01,72.0,71,46800,clear sky,0,1.99
Srednekolymsk,RU,67.45,153.68,-17.7,-17.7,-17.7,88,39600,overcast clouds,96,10.96
Aras,ES,42.56,-2.36,44.6,44.6,44.6,93,3600,overcast clouds,90,5.82
Carson City,US,39.16,-119.77,39.22,35.6,41.0,68,-28800,clear sky,1,5.79
Bairiki Village,KI,1.33,172.98,82.4,82.4,82.4,83,43200,shower rain,40,12.75
Dikson,RU,73.51,80.55,-30.39,-30.39,-30.39,82,25200,clear sky,0,15.9
Yamada,JP,39.47,141.95,32.9,32.9,32.9,74,32400,scattered clouds,29,10.33
Tasiilaq,GL,65.61,-37.64,26.6,26.6,26.6,49,-10800,overcast clouds,100,16.11
Moroni,KM,-11.7,43.26,79.39,79.39,79.39,71,10800,overcast clouds,99,2.64
Maţāy,EG,28.42,30.78,53.35,53.35,53.35,84,7200,clear sky,0,4.85
Gunjur,GM,13.2,-16.73,68.0,68.0,68.0,72,0,clear sky,0,2.24
Iroquois Falls,CA,48.77,-80.68,3.2,3.2,3.2,77,-18000,scattered clouds,40,6.93
Lüderitz,NA,-26.65,15.16,64.4,64.4,64.4,72,7200,clear sky,0,17.22
Naze,JP,28.37,129.48,58.05,57.2,59.0,58,32400,broken clouds,75,16.11
Olavarría,AR,-36.89,-60.32,73.99,73.99,73.99,36,-10800,clear sky,0,5.99
Kākori,IN,26.88,80.8,48.2,48.2,48.2,81,19800,mist,0,4.7
Chake Chake,TZ,-5.25,39.77,77.68,77.68,77.68,85,10800,scattered clouds,49,6.64
East London,ZA,-33.02,27.91,67.3,67.3,67.3,81,7200,clear sky,0,9.93
San Lorenzo,PY,-25.33,-57.53,73.4,73.4,73.4,94,-10800,broken clouds,75,5.82
Kaitangata,NZ,-46.28,169.85,55.99,55.99,55.99,62,46800,few clouds,12,8.99
Bourail,NC,-21.57,165.48,81.82,81.82,81.82,52,39600,broken clouds,65,6.33
Cidreira,BR,-30.18,-50.21,73.02,73.02,73.02,92,-10800,overcast clouds,100,8.68
Saint George,US,37.1,-113.58,42.89,41.0,44.6,33,-25200,clear sky,1,3.36
Hualmay,PE,-11.1,-77.61,68.81,68.81,68.81,83,-18000,overcast clouds,100,6.62
Barguzin,RU,53.62,109.62,-2.78,-2.78,-2.78,84,28800,scattered clouds,38,7.61
Tuensang,IN,26.28,94.83,52.88,52.88,52.88,77,19800,clear sky,0,2.46
Ampanihy,MG,-24.7,44.75,70.2,70.2,70.2,73,10800,scattered clouds,29,1.77
Kathmandu,NP,27.72,85.32,37.4,37.4,37.4,86,20700,mist,20,3.36
Daultala,PK,33.19,73.14,38.77,37.4,39.99,93,18000,mist,0,8.05
Seoul,KR,37.57,126.98,19.49,15.8,23.0,48,32400,clear sky,1,0.56
Faanui,PF,-16.48,-151.75,80.6,80.6,80.6,78,-36000,light rain,100,20.65
Portland,US,45.52,-122.68,46.65,45.0,48.0,93,-28800,mist,90,11.41
Chimay,BE,50.05,4.32,48.4,48.0,48.99,87,3600,light intensity drizzle,100,10.29
Nantucket,US,41.28,-70.1,32.0,32.0,32.0,93,-18000,light snow,90,16.11
Talnakh,RU,69.49,88.4,-9.4,-9.4,-9.4,76,25200,light snow,75,15.66
Hamilton,US,39.18,-84.53,32.07,30.99,33.01,95,-18000,light snow,90,9.17
Bowen,AU,-20.02,148.23,95.0,95.0,95.0,44,36000,overcast clouds,99,5.82
Yar-Sale,RU,66.83,70.83,7.45,7.45,7.45,95,18000,light snow,100,16.51
Salalah,OM,17.02,54.09,69.8,69.8,69.8,73,14400,clear sky,0,6.93
São João Batista,BR,-27.28,-48.85,76.64,75.99,77.0,88,-10800,broken clouds,75,12.75
Areosa,PT,41.72,-8.86,46.87,44.01,50.0,93,0,few clouds,20,10.29
Balyqshy,KZ,47.07,51.87,28.4,28.4,28.4,68,18000,overcast clouds,100,15.66
Guerrero Negro,MX,27.98,-114.06,59.77,59.77,59.77,55,-25200,clear sky,0,8.21
Xining,CN,36.62,101.77,12.43,12.43,12.43,88,28800,overcast clouds,100,1.99
Perdões,BR,-21.09,-45.09,70.77,70.77,70.77,84,-10800,overcast clouds,100,3.42
Tutóia,BR,-2.76,-42.27,81.43,81.43,81.43,78,-10800,scattered clouds,40,12.93
Kousséri,CM,12.08,15.03,71.6,71.6,71.6,28,3600,clear sky,0,8.05
Esil,KZ,51.96,66.4,7.9,7.9,7.9,90,21600,overcast clouds,100,12.08
Mahajanga,MG,-15.72,46.32,78.8,78.8,78.8,94,10800,few clouds,20,3.36
Rudnogorsk,RU,57.26,103.75,-18.0,-18.0,-18.0,88,28800,overcast clouds,100,3.98
Anadyr,RU,64.75,177.48,17.6,17.6,17.6,78,43200,scattered clouds,40,29.08
Lewiston,US,44.1,-70.21,16.48,15.01,18.0,52,-18000,few clouds,20,12.75
Najrān,SA,17.49,44.13,48.2,48.2,48.2,39,10800,clear sky,0,4.7
Kununurra,AU,-15.77,128.73,91.4,91.4,91.4,70,28800,clear sky,2,4.7
Mufumbwe,ZM,-13.68,24.8,63.64,63.64,63.64,97,7200,light rain,70,4.41
Am Timan,TD,11.03,20.28,69.35,69.35,69.35,23,3600,broken clouds,61,5.99
Kilinochchi,LK,9.4,80.4,76.23,76.23,76.23,88,19800,light rain,16,5.3
Phetchaburi,TH,12.97,99.58,79.0,79.0,79.0,89,25200,broken clouds,78,3.96
Abu Dhabi,AE,24.47,54.37,63.63,62.6,64.4,77,14400,clear sky,0,3.36
Longyearbyen,SJ,78.22,15.64,10.4,10.4,10.4,72,3600,light snow,90,13.87
Leningradskiy,RU,69.38,178.42,15.17,15.17,15.17,94,43200,light snow,100,28.23
Barão de Melgaço,BR,-16.19,-55.97,82.4,82.4,82.4,61,-14400,moderate rain,0,2.24
Paamiut,GL,61.99,-49.67,35.78,35.78,35.78,77,-10800,broken clouds,53,14.97
Tateyama,JP,34.98,139.87,48.42,48.0,48.99,49,32400,scattered clouds,40,6.93
Tazovsky,RU,67.47,78.7,-0.6,-0.6,-0.6,93,18000,light snow,100,16.42
Nur-Sultan,KZ,51.18,71.45,-11.2,-11.2,-11.2,76,21600,clear sky,0,4.47
Sakakah,SA,29.97,40.21,48.2,48.2,48.2,61,10800,clear sky,0,5.82
Pitimbu,BR,-7.47,-34.81,78.8,78.8,78.8,83,-10800,scattered clouds,40,6.93
Alta Floresta,BR,-9.88,-56.09,75.97,75.97,75.97,77,-14400,broken clouds,52,2.93
Kostanay,KZ,53.17,63.58,12.2,12.2,12.2,72,21600,clear sky,0,15.66
Nikolskoye,RU,59.7,30.79,35.42,34.0,37.4,86,10800,overcast clouds,90,20.13
Kruisfontein,ZA,-34.0,24.73,63.0,63.0,63.0,86,7200,few clouds,23,1.01
Sorong,ID,-0.88,131.25,83.71,83.71,83.71,75,32400,overcast clouds,100,6.67
Deputatsky,RU,69.3,139.9,-17.18,-17.18,-17.18,90,36000,overcast clouds,100,1.39
Russell,US,32.35,-85.2,46.6,44.6,48.2,93,-21600,fog,40,5.82
Saskylakh,RU,71.92,114.08,-35.84,-35.84,-35.84,82,32400,broken clouds,54,0.6
Touros,BR,-5.2,-35.46,80.6,80.6,80.6,83,-10800,scattered clouds,40,8.05
Flinders,AU,-34.58,150.86,75.0,75.0,75.0,85,39600,overcast clouds,89,13.0
Ubari,LY,26.59,12.78,52.52,52.52,52.52,50,7200,broken clouds,67,9.1
Aykhal,RU,66.0,111.5,-31.0,-31.0,-31.0,66,32400,light snow,90,2.24
George Town,MY,5.41,100.34,76.87,75.0,78.8,94,28800,few clouds,20,3.36
Esperance,AU,-33.87,121.9,66.2,66.2,66.2,52,28800,overcast clouds,90,9.17
Lubbock,US,33.6,-101.83,39.99,37.4,43.0,37,-21600,clear sky,1,8.05
Laas,IT,46.62,10.7,30.79,24.8,35.01,85,3600,clear sky,5,1.97
Rūdbār,AF,30.15,62.6,43.38,43.38,43.38,49,16200,clear sky,0,7.11
Port Hardy,CA,50.7,-127.42,45.3,44.6,46.4,87,-28800,light intensity shower rain,90,13.87
Bethel,US,41.37,-73.41,20.16,19.4,21.0,92,-18000,heavy snow,100,12.75
Tortolì,IT,39.93,9.66,51.89,51.8,52.0,81,3600,scattered clouds,40,9.17
Terra Rica,BR,-22.71,-52.62,69.66,69.66,69.66,97,-10800,moderate rain,100,4.76
Puerto Madryn,AR,-42.77,-65.04,65.7,65.7,65.7,33,-10800,clear sky,0,20.49
Tilichiki,RU,60.47,166.1,2.17,2.17,2.17,94,43200,overcast clouds,100,13.04
Tabou,CI,4.42,-7.35,79.02,79.02,79.02,84,0,moderate rain,100,7.87
Copiapó,CL,-27.37,-70.33,60.8,60.8,60.8,77,-10800,clear sky,0,8.05
Iqaluit,CA,63.75,-68.51,3.2,3.2,3.2,65,-18000,light snow,75,12.75
Rønne,DK,55.1,14.71,44.6,44.6,44.6,87,3600,overcast clouds,100,17.22
Bengkulu,ID,-3.8,102.27,78.94,78.94,78.94,79,25200,few clouds,21,9.13
Laredo,US,27.51,-99.51,56.35,55.4,57.2,24,-21600,clear sky,1,6.06
Gigmoto,PH,13.78,124.39,80.82,80.82,80.82,80,28800,broken clouds,83,15.77
Gunnedah,AU,-30.98,150.25,77.0,77.0,77.0,78,39600,broken clouds,75,10.29
Bayan,CN,46.08,127.4,-4.68,-4.68,-4.68,90,28800,few clouds,15,8.61
Poya,NC,-21.35,165.15,82.02,82.02,82.02,55,39600,scattered clouds,30,7.0
São Filipe,CV,14.9,-24.5,73.15,73.15,73.15,72,-3600,overcast clouds,100,14.03
Auki,SB,-8.77,160.7,87.39,87.39,87.39,63,39600,clear sky,0,7.49
Norman Wells,CA,65.28,-126.83,-27.4,-27.4,-27.4,74,-25200,scattered clouds,40,3.36
Balabac,PH,7.99,117.06,82.13,82.13,82.13,79,28800,heavy intensity rain,100,16.75
Namatanai,PG,-3.67,152.43,85.41,85.41,85.41,68,36000,light rain,100,4.14
Torit,SS,4.41,32.57,75.09,75.09,75.09,32,10800,overcast clouds,94,1.54
Torbay,CA,47.67,-52.73,26.62,26.01,28.0,68,-12600,overcast clouds,90,39.15
Strezhevoy,RU,60.73,77.59,8.6,8.6,8.6,84,25200,clear sky,0,6.71
Linjiang,CN,41.81,126.91,9.09,9.09,9.09,71,28800,clear sky,0,2.73
Thinadhoo,MV,0.53,72.93,81.19,81.19,81.19,73,18000,light rain,2,6.8
Pimentel,PE,-6.84,-79.93,69.8,69.8,69.8,77,-18000,clear sky,0,19.46
Maningrida,AU,-12.07,134.27,87.19,87.19,87.19,65,34200,light rain,100,4.0
Yumen,CN,40.28,97.2,10.24,10.24,10.24,81,28800,clear sky,0,9.08
Puerto Escondido,MX,15.85,-97.07,77.0,77.0,77.0,78,-21600,scattered clouds,40,3.36
Biak,ID,-0.91,122.88,84.0,84.0,84.0,66,28800,overcast clouds,100,2.21
Norfolk,US,42.17,-71.25,26.44,24.01,28.99,68,-18000,overcast clouds,100,12.75
Grand Gaube,MU,-20.01,57.66,75.99,75.99,75.99,86,14400,light rain,10,5.01
Katsuura,JP,35.13,140.3,44.29,41.0,48.99,30,32400,few clouds,20,4.7
Coahuayana Viejo,MX,18.73,-103.68,69.8,69.8,69.8,83,-21600,clear sky,5,1.52
Nanortalik,GL,60.14,-45.24,28.35,28.35,28.35,90,-10800,overcast clouds,100,9.31
Ranfurly,NZ,-45.13,170.1,59.0,59.0,59.0,74,46800,overcast clouds,91,1.01
Santiago del Estero,AR,-27.8,-64.26,79.0,79.0,79.0,65,-10800,light rain,99,1.99
Kumul,CN,42.8,93.45,12.22,12.22,12.22,76,28800,clear sky,0,1.68
Geraldton,AU,-28.77,114.6,77.0,77.0,77.0,50,28800,clear sky,0,12.75
Fare,PF,-16.7,-151.02,81.41,81.41,81.41,76,-36000,overcast clouds,100,19.22
Kemisē,ET,10.72,39.87,57.18,57.18,57.18,39,10800,clear sky,0,3.38
Lahaina,US,20.88,-156.68,78.87,73.99,82.4,61,-36000,scattered clouds,40,16.11
Mogzon,RU,51.74,111.96,-5.46,-5.46,-5.46,84,32400,overcast clouds,87,9.91
Boende,CD,-0.22,20.87,75.72,75.72,75.72,80,3600,overcast clouds,88,1.72
Ixtapa,MX,20.7,-105.2,73.2,73.0,73.4,78,-21600,few clouds,20,6.93
Bathsheba,BB,13.22,-59.52,80.6,80.6,80.6,74,-14400,scattered clouds,40,16.11
Upington,ZA,-28.45,21.26,75.2,75.2,75.2,36,7200,clear sky,0,6.93
Marsala,IT,37.8,12.44,56.68,53.6,60.01,81,3600,clear sky,0,2.24
Iablaniţa,RO,44.95,22.31,37.35,37.35,37.35,85,7200,overcast clouds,100,0.72
Kahului,US,20.89,-156.47,76.15,73.0,82.4,58,-36000,light rain,40,20.8
Henties Bay,NA,-22.12,14.28,62.01,62.01,62.01,91,7200,clear sky,0,1.01
Kendari,ID,-3.94,122.5,84.51,84.51,84.51,75,28800,moderate rain,91,2.35
Port Shepstone,ZA,-30.74,30.45,69.01,69.01,69.01,82,7200,clear sky,4,12.1
Chongwe,ZM,-15.33,28.68,67.17,67.17,67.17,91,7200,light rain,97,3.89
Mandalgovi,MN,45.76,106.27,3.45,3.45,3.45,88,28800,overcast clouds,96,9.73
Port Lincoln,AU,-34.73,135.87,59.92,59.92,59.92,64,37800,overcast clouds,100,12.55
Arraial do Cabo,BR,-22.97,-42.03,77.0,77.0,77.0,88,-10800,broken clouds,75,5.82
Hofn,IS,64.25,-15.21,39.76,39.76,39.76,86,0,overcast clouds,100,17.67
Amapá,BR,1.0,-52.0,74.25,74.25,74.25,88,-10800,overcast clouds,97,3.36
Marawi,PH,8.0,124.29,81.0,81.0,81.0,81,28800,overcast clouds,100,5.01
Berbera,SO,10.44,45.01,73.98,73.98,73.98,74,10800,clear sky,5,6.51
Pisco,PE,-13.7,-76.22,67.57,66.99,68.0,82,-18000,clear sky,0,10.29
Marsá Maţrūḩ,EG,31.35,27.25,57.2,57.2,57.2,87,7200,few clouds,20,3.36
Lata,PT,40.16,-8.33,43.05,42.01,44.01,92,0,clear sky,0,2.13
Clyde River,CA,70.47,-68.59,-7.6,-7.6,-7.6,83,-18000,clear sky,5,3.36
Yalutorovsk,RU,56.65,66.3,22.19,22.19,22.19,94,18000,overcast clouds,100,12.3
Vestmannaeyjar,IS,63.44,-20.27,41.0,41.0,41.0,70,0,overcast clouds,100,5.59
Ballina,AU,-28.87,153.57,77.88,77.0,80.01,83,39600,overcast clouds,90,11.41
Bondoukou,CI,8.03,-2.8,76.33,76.33,76.33,77,0,overcast clouds,100,5.17
Aksu,CN,41.12,80.26,21.0,21.0,21.0,97,28800,overcast clouds,100,2.44
Koumac,NC,-20.57,164.28,82.26,82.26,82.26,57,39600,overcast clouds,100,10.16
Evensk,RU,61.95,159.23,0.1,0.1,0.1,85,39600,scattered clouds,26,16.84
Santa Rosa,PH,14.31,121.11,82.24,80.6,84.0,78,28800,scattered clouds,40,4.7
Cockburn Town,TC,21.46,-71.14,77.0,77.0,77.0,73,-18000,scattered clouds,40,6.93
Popondetta,PG,-8.75,148.25,91.27,91.27,91.27,54,36000,scattered clouds,34,5.91
Izmaylovo,RU,53.72,47.25,12.43,12.43,12.43,96,14400,scattered clouds,44,4.36
Porbandar,IN,21.64,69.61,63.73,63.73,63.73,62,19800,clear sky,1,16.17
Doctor Arroyo,MX,23.67,-100.18,50.77,50.77,50.77,57,-21600,clear sky,0,8.23
Dalby,AU,-27.18,151.27,90.0,90.0,90.0,43,36000,few clouds,20,1.99
Nome,US,64.5,-165.41,12.2,12.2,12.2,78,-32400,broken clouds,75,13.87
Juneau,US,58.3,-134.42,27.93,26.01,30.2,92,-32400,light snow,90,3.2
Morón,AR,-34.65,-58.62,71.71,71.01,72.0,58,-10800,light rain,0,3.0
Margate,GB,51.38,1.39,48.99,48.99,48.99,87,0,overcast clouds,100,1.99
Pelym,RU,61.01,62.0,14.38,14.38,14.38,92,18000,overcast clouds,100,7.96
Vung Tau,VN,10.35,107.08,78.21,78.21,78.21,82,25200,broken clouds,55,4.99
Sungai Raya,ID,0.7,108.9,78.21,78.21,78.21,86,25200,overcast clouds,100,2.33
Sarh,TD,9.14,18.39,66.2,66.2,66.2,68,3600,clear sky,0,3.8
Eyl,SO,7.98,49.82,72.43,72.43,72.43,67,10800,clear sky,0,12.48
Sébaco,NI,12.85,-86.1,70.02,70.02,70.02,88,-21600,clear sky,1,4.5
Mabay,PH,6.06,124.47,78.8,78.8,78.8,83,28800,moderate rain,90,1.12
Karaton,ID,-6.34,106.1,79.61,78.01,84.0,88,25200,moderate rain,40,6.93
Nandurbar,IN,21.37,74.25,66.24,66.24,66.24,66,19800,clear sky,0,7.65
Werda,BW,-25.27,23.28,71.6,71.6,71.6,68,7200,clear sky,0,13.91
Yangi Marg`ilon,UZ,40.43,71.72,21.2,21.2,21.2,79,18000,mist,0,6.93
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,30.2,30.2,30.2,74,43200,overcast clouds,95,4.47
Barabash,RU,43.2,131.48,10.4,10.4,10.4,43,36000,clear sky,0,2.24
Semey,KZ,50.41,80.23,-9.4,-9.4,-9.4,83,21600,clear sky,0,4.47
Siparia,TT,10.13,-61.5,76.77,75.99,78.01,91,-14400,clear sky,0,1.01
Lādnūn,IN,27.65,74.38,42.44,42.44,42.44,60,19800,clear sky,0,6.22
Burnie,AU,-41.07,145.92,63.0,63.0,63.0,79,39600,broken clouds,61,1.01
Mahibadhoo,MV,3.78,72.97,81.9,81.9,81.9,70,18000,overcast clouds,95,8.34
Caraballeda,VE,10.61,-66.85,70.0,70.0,70.0,80,-14400,broken clouds,83,1.99
Samarai,PG,-10.62,150.67,83.26,83.26,83.26,67,36000,overcast clouds,96,4.16
Nemuro,JP,43.32,145.57,24.8,24.8,24.8,49,32400,broken clouds,75,12.75
Inhambane,MZ,-23.86,35.38,76.01,76.01,76.01,80,7200,overcast clouds,100,4.16
Orlik,RU,52.52,99.83,-15.3,-15.3,-15.3,79,28800,broken clouds,51,2.24
Bambanglipuro,ID,-7.95,110.28,69.01,69.01,69.01,88,25200,clear sky,2,7.87
Choya,RU,52.01,86.55,17.11,17.11,17.11,94,25200,overcast clouds,100,1.79
Shingū,JP,33.73,135.98,39.2,39.2,39.2,86,32400,broken clouds,75,12.75
Ponta Delgada,PT,37.73,-25.67,62.6,62.6,62.6,93,-3600,few clouds,20,16.11
Tayu,ID,-6.54,111.05,82.92,82.92,82.92,74,25200,light rain,70,2.68
Tambopata,PE,-12.73,-69.18,73.58,73.58,73.58,93,-18000,overcast clouds,100,1.14
Sidrolândia,BR,-20.93,-54.96,75.2,75.2,75.2,78,-14400,thunderstorm,20,6.93
Ust'-Ishim,RU,57.69,71.17,20.3,20.3,20.3,95,21600,overcast clouds,100,9.01
Kodinsk,RU,58.69,99.18,-12.68,-12.68,-12.68,86,25200,overcast clouds,98,4.47
Beloha,MG,-25.17,45.05,69.89,69.89,69.89,82,10800,clear sky,6,1.88
Port-Gentil,GA,-0.72,8.78,79.18,79.18,79.18,83,3600,light rain,100,14.34
Horta,PT,38.53,-28.63,63.79,63.79,63.79,88,-3600,overcast clouds,100,22.73
Saldanha,ZA,-33.01,17.94,60.8,60.8,60.8,77,7200,broken clouds,51,5.82
São João da Barra,BR,-21.64,-41.05,76.26,76.26,76.26,85,-10800,few clouds,16,22.62
Portales,US,34.19,-103.33,38.59,35.6,41.0,25,-25200,clear sky,1,10.29
Alofi,NU,-19.06,-169.92,82.4,82.4,82.4,74,-39600,shower rain,75,10.29
Padang,ID,-0.95,100.35,78.76,78.76,78.76,77,25200,overcast clouds,98,2.86
Dingle,PH,11.0,122.67,82.51,82.51,82.51,77,28800,scattered clouds,44,14.99
Inta,RU,66.03,60.17,11.55,11.55,11.55,94,10800,overcast clouds,90,24.4
Ahipara,NZ,-35.17,173.17,68.7,68.7,68.7,58,46800,clear sky,0,10.45
Panabá,MX,21.28,-88.27,71.22,71.22,71.22,93,-21600,clear sky,1,5.57
Phalaborwa,ZA,-23.94,31.14,68.0,68.0,68.0,88,7200,light rain,100,8.05
Kawalu,ID,-7.38,108.21,83.14,83.14,83.14,66,25200,light rain,3,0.78
Huntsville,US,34.73,-86.59,36.0,34.0,37.99,78,-21600,overcast clouds,90,11.41
Coyhaique,CL,-45.58,-72.07,53.6,53.6,53.6,62,-10800,broken clouds,75,4.7
Kushima,JP,31.46,131.23,41.38,39.0,44.6,36,32400,few clouds,20,10.29
