city,country,latitude,longitude,temp,temp_min,temp_max,humidity,time_zone,weather,cloud_coverage,wind_speed
Znamenskoye,RU,57.13,73.83,17.98,17.98,17.98,96,21600,overcast clouds,100,9.26
Abu Kamal,SY,34.45,40.92,56.39,56.39,56.39,75,7200,overcast clouds,85,5.57
Olafsvik,IS,64.89,-23.71,35.58,35.58,35.58,85,0,few clouds,14,23.0
Luena,AO,-11.78,19.92,59.9,59.9,59.9,94,3600,light rain,100,3.27
Oistins,BB,13.07,-59.53,80.6,80.6,80.6,74,-14400,scattered clouds,40,16.11
Teófilo Otoni,BR,-17.86,-41.51,67.62,67.62,67.62,92,-10800,overcast clouds,98,3.38
Mossamedes,AO,-15.2,12.15,65.1,65.1,65.1,84,3600,scattered clouds,40,3.74
Severnyy-Kospashskiy,RU,59.09,57.8,16.0,16.0,16.0,83,18000,overcast clouds,100,5.61
Altamira,BR,-3.2,-52.21,74.66,74.66,74.66,78,-10800,broken clouds,82,2.46
Xai-Xai,MZ,-25.05,33.64,74.5,74.5,74.5,92,7200,light rain,98,6.46
Blyth,GB,55.13,-1.51,43.45,43.0,44.6,81,0,scattered clouds,28,6.93
Azuaga,ES,38.27,-5.68,48.0,48.0,48.0,96,3600,scattered clouds,36,4.0
Hokitika,NZ,-42.72,170.97,64.26,64.26,64.26,77,46800,overcast clouds,94,8.34
Gamba,GA,-2.65,10.0,74.5,74.5,74.5,96,3600,heavy intensity rain,100,4.27
Los Llanos de Aridane,ES,28.66,-17.92,68.0,68.0,68.0,72,0,scattered clouds,40,10.29
Avera,US,33.19,-82.53,39.74,39.0,41.0,95,-18000,broken clouds,75,3.44
Makkah al Mukarramah,SA,21.43,39.83,70.16,70.16,70.16,59,10800,few clouds,21,6.44
Christchurch,NZ,-43.53,172.63,59.16,57.0,61.0,77,46800,overcast clouds,94,11.41
Baghdad,IQ,33.34,44.4,48.2,48.2,48.2,93,10800,fog,90,2.24
Lagoa,PT,39.05,-27.98,63.52,63.52,63.52,89,-3600,overcast clouds,100,29.24
Tolaga Bay,NZ,-38.37,178.3,68.52,68.52,68.52,63,46800,clear sky,0,10.33
New Gloucester,US,43.96,-70.28,16.9,16.0,18.0,52,-18000,few clouds,20,12.75
Chufarovo,RU,54.1,47.34,12.07,12.07,12.07,95,14400,broken clouds,56,4.68
Merrill,US,45.18,-89.68,24.06,23.0,25.0,73,-21600,overcast clouds,90,3.51
Dafeng,CN,23.45,108.59,45.05,45.05,45.05,58,28800,overcast clouds,100,7.49
Keminmaa,FI,65.86,24.82,26.6,26.6,26.6,86,7200,clear sky,0,11.41
Conde,BR,-7.26,-34.91,78.8,78.8,78.8,83,-10800,scattered clouds,40,6.93
São Paulo de Olivença,BR,-3.38,-68.87,74.3,74.3,74.3,94,-14400,broken clouds,81,0.63
Shambu,ET,9.57,37.1,49.98,49.98,49.98,56,10800,clear sky,0,2.08
Zyryanka,RU,65.75,150.85,-20.78,-20.78,-20.78,87,39600,overcast clouds,100,2.86
Gumdag,TM,39.21,54.59,34.29,34.29,34.29,84,18000,overcast clouds,99,23.06
Karachi,PK,24.91,67.08,51.8,51.8,51.8,40,18000,clear sky,0,4.7
Launceston,AU,-41.45,147.17,64.65,62.6,66.99,77,39600,overcast clouds,90,12.75
